,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2599,2019-11-20 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,11/20/2019
2600,2019-11-22 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,11/22/2019
2601,2019-11-22 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,11/22/2019
2602,2019-11-26 00:00:00,WECC,California,Severe Weather,300.0,93000.0,11/27/2019
2603,2019-11-27 00:00:00,WECC,California,Vandalism,35.0,2.0,11/27/2019
2604,2019-11-27 00:00:00,RF,Michigan,Severe Weather,30.0,107000.0,11/30/2019
2605,2019-11-29 00:00:00,TRE,Texas,Actual Physical Attack,227.61758764334965,75034.07073954983,12/01/2019
2606,2019-12-03 00:00:00,SERC,Alabama,System Operations,98.91420155952726,20018.76923076923,12/03/2019
2607,2019-12-03 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,Unknown
2608,2019-12-05 00:00:00,RF,Ohio,System Operations,333.98545180267575,33853.63043478261,12/09/2019
2609,2019-12-05 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,Unknown
2610,2019-12-07 00:00:00,SPPRE,Oklahoma,Actual Physical Attack,2.0,400.0,12/08/2019
2611,2019-12-08 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,12/08/2019
2612,2019-12-11 00:00:00,SPPRE,Oklahoma,Actual Physical Attack,1.0,392.0,12/11/2019
2613,2019-12-11 00:00:00,MRO,North Dakota,Transmission Interruption,18.0,1.0,12/11/2019
2614,2019-12-11 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,12/11/2019
2615,2019-12-16 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,12/17/2019
2616,2019-12-18 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,12/18/2019
2617,2019-12-19 00:00:00,MRO,Nebraska,System Operations,71.21943582300112,14684.21052631579,12/19/2019
2618,2019-12-24 00:00:00,SERC,Illinois,Suspicious Activity,31.150305723688334,84347.11111111111,12/24/2019
2619,2019-12-31 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,12/31/2019
2620,2019-12-31 00:00:00,TRE,Texas,Transmission Interruption,25.0,75034.07073954983,01/01/2020
2621,2020-01-09 00:00:00,SPPRE,Arkansas,Transmission Interruption,11.723842336006335,28050.363636363636,01/09/2020
2622,2020-01-09 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,01/10/2020
2623,2020-01-09 00:00:00,MRO,Wisconsin,System Operations,81.56188381985727,27010.277777777777,01/09/2020
2624,2020-01-09 00:00:00,SPPRE,Arkansas,System Operations,11.723842336006335,28050.363636363636,01/09/2020
2625,2020-01-10 00:00:00,SERC,Tennessee,Suspicious Activity,251.62413084738048,49784.83870967742,Unknown
2626,2020-01-11 00:00:00,SPPRE,Arkansas,Transmission Interruption,22.0,7541.0,01/11/2020
2627,2020-01-11 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,66475.0,01/12/2020
2628,2020-01-11 00:00:00,SPPRE,Texas,Severe Weather,101.30079421343446,68138.0,01/11/2020
2629,2020-01-11 00:00:00,SERC,Tennessee,Severe Weather,4.0,49784.83870967742,Unknown
2630,2020-01-11 00:00:00,SERC,Mississippi,Severe Weather,219.0,30715.0,01/12/2020
2631,2020-01-12 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,01/12/2020
